ID,Dataset Name,Friendly Name,Data Type,Plottable,Has Schema,Category,Description
3086,corva#data.actual_survey.witsml,data.actual_survey.witsml,time,No,No,Well Data (data.*),
1610,corva#data.actual_survey_divergence,data.actual_survey_divergence,time,No,No,Well Data (data.*),
96,corva#data.afe,data.afe,time,No,Yes,Well Data (data.*),
3155,corva#data.afe.curve,data.afe.curve,time,No,No,Well Data (data.*),
3357,corva#data.analytics.drillstring,data.analytics.drillstring,time,No,No,Well Data (data.*),
3208,corva#data.bha.dd_comments,data.bha.dd_comments,time,No,No,Well Data (data.*),
3209,corva#data.bha.run_summary,data.bha.run_summary,time,No,No,Well Data (data.*),
88,corva#data.casing,data.casing,time,No,Yes,Well Data (data.*),
631,corva#data.completion.npt-codes,data.completion.npt-codes,reference,No,No,Well Data (data.*),Collection to store completion NPT code mapping
14,corva#data.costs,data.costs,time,No,No,Well Data (data.*),
66,corva#data.crew-shift,data.crew-shift,time,No,No,Well Data (data.*),
15,corva#data.crews,data.crews,time,No,Yes,Well Data (data.*),
1328,corva#data.custom_curves,data.custom_curves,time,No,No,Well Data (data.*),
46,corva#data.cuttings,data.cuttings,time,No,No,Well Data (data.*),
2984,corva#data.dd-mission-control-well-notes,data.dd-mission-control-well-notes,time,No,No,Well Data (data.*),
71,corva#data.diaries,data.diaries,time,No,Yes,Well Data (data.*),
109,corva#data.drilling-window,data.drilling-window,time,No,No,Well Data (data.*),
3349,corva#data.drilling.sop,data.drilling.sop,reference,No,No,Well Data (data.*),"Drilling analyst uses SOPs to coordinate and escalate confirmed Corva platform outages quickly and consistently. The workflow covers internal notifications, customer impact management, escalation paths, and post-incident obligations."
18,corva#data.drillstring,data.drillstring,time,No,Yes,Well Data (data.*),"Describes full drillstring (drill pipe/collars, pdm, bits, etc.) and parameters associated with each component"
1825,corva#data.drillstring.drillpipe_specs,data.drillstring.drillpipe_specs,reference,No,No,Well Data (data.*),Contains data of Ops expectation of the drill pipe on location at the rig. Data is refreshed daily from a spreadsheet Ops maintains.
1795,corva#data.drillstring.planned,data.drillstring.planned,time,No,No,Well Data (data.*),
606,corva#data.emission-factor,data.emission-factor,reference,No,No,Well Data (data.*),
48,corva#data.files,data.files,time,No,Yes,Well Data (data.*),
3188,corva#data.formation-dips,data.formation-dips,time,No,No,Well Data (data.*),Dataset for storing formation dips
148,corva#data.formations,data.formations,time,No,Yes,Well Data (data.*),Formation (lithology and name) data by Asset with TVD and MD.
1630,corva#data.headquarters-well-notes,data.headquarters-well-notes,time,No,No,Well Data (data.*),
989,corva#data.hole-cleaning,data.hole-cleaning,time,No,No,Well Data (data.*),
783,corva#data.insights.events,data.insights.events,time,No,No,Well Data (data.*),
784,corva#data.insights.files,data.insights.files,time,No,No,Well Data (data.*),
266,corva#data.lessons-learned,data.lessons-learned,time,No,Yes,Well Data (data.*),Collection for lessons learned
384,corva#data.lessons-learned-codes,data.lessons-learned-codes,reference,No,No,Well Data (data.*),Collection for lessons learned codes
267,corva#data.lessons-learned.settings,data.lessons-learned.settings,time,No,No,Well Data (data.*),Collection for lessons learned settings
