equiv_bha_key,num_runs,curve_type,formation_name,formation_segment,formation_bin_key,p10,p50,p90,contributing_runs,confident
6B-16mm | 7/8-lo,36,slide,Olmos,60,Olmos|60,65.9,67.3,68.8,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,70,Olmos|70,48.6,48.6,48.6,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,80,Olmos|80,46.2,46.2,46.2,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,90,Olmos|90,46.2,46.2,46.2,1,False
6B-16mm | 7/8-lo,36,slide,Hazard,0,Hazard|0,68.4,125.4,200.0,11,True
6B-16mm | 7/8-lo,36,slide,Hazard,10,Hazard|10,68.4,125.4,225.0,6,True
6B-16mm | 7/8-lo,36,slide,Hazard,20,Hazard|20,68.4,125.4,272.0,11,True
6B-16mm | 7/8-lo,36,slide,Hazard,30,Hazard|30,76.0,120.0,276.9,9,True
6B-16mm | 7/8-lo,36,slide,Hazard,40,Hazard|40,79.2,180.0,276.9,6,True
6B-16mm | 7/8-lo,36,slide,Hazard,50,Hazard|50,76.0,108.8,254.9,5,True
6B-16mm | 7/8-lo,36,slide,Hazard,60,Hazard|60,42.8,97.3,226.3,5,True
6B-16mm | 7/8-lo,36,slide,Hazard,70,Hazard|70,42.8,72.2,156.0,5,True
6B-16mm | 7/8-lo,36,slide,Hazard,80,Hazard|80,29.6,72.2,150.0,6,True
6B-16mm | 7/8-lo,36,slide,Hazard,90,Hazard|90,46.3,72.2,150.0,7,True
6B-16mm | 7/8-lo,36,slide,San Miguel,0,San Miguel|0,74.7,133.3,311.4,6,True
6B-16mm | 7/8-lo,36,slide,San Miguel,10,San Miguel|10,74.7,150.8,312.0,5,True
6B-16mm | 7/8-lo,36,slide,San Miguel,20,San Miguel|20,51.4,133.3,311.4,9,True
6B-16mm | 7/8-lo,36,slide,San Miguel,30,San Miguel|30,51.4,105.9,256.0,10,True
6B-16mm | 7/8-lo,36,slide,San Miguel,40,San Miguel|40,53.0,105.9,256.0,5,True
