asset_id,well_name,operator,distance_miles,bha_number,start_depth,end_depth,run_length,set_date,num_components,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
15570477,Santa Cruz-SSS H Unit C 3H,Pursuit Oil & Gas,11.3,3,10564,20634.06,10070.1,2023-09-07,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5337441,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.58,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
27257703,La Santa Cruz D 2H,Pursuit Oil & Gas,11.4,3,11000,20825.1,9825.1,2021-03-28,10,8.75,pdc,"8.75"" Brit Bit DD406S",Brit Bit,DD406S,5308086,2.227340104009951,"[{'size': 22, 'count': 6}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 Stg",ProDirectional,5/6 8.2 Stg,6.75,29.3,0.25,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,lo
61331738,Quick-La Santa Cruz PSA D,Pursuit Oil & Gas,11.4,3,10310,14909.3,4599.3,2021-04-05,10,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5310174,2.227340104009951,"[{'size': 22, 'count': 6}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,6.75,29.5,0.426,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
61331738,Quick-La Santa Cruz PSA D,Pursuit Oil & Gas,11.4,4,14909,20475.2,5566.2,2021-04-08,10,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,49768,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.58,0.426,N/A,N/A,8.2,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",5/6,mid
28344054,Burkholder-RJ Unit A 1H,Pursuit Oil & Gas,11.4,3,10222,20833,10611,2022-07-29,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5332456,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.49,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
30078479,Burkholder-RJ Unit B 2H,Pursuit Oil & Gas,11.4,3,10235.99,21215.98,10980.0,2022-08-05,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5332660,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" BHA 5/6 8.2",BHA,5/6 8.2,6.75,31.69,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
63309081,SSS-Burkholder Unit A 1H,Pursuit Oil & Gas,11.5,4,10319,19806.9,9487.9,2020-10-18,10,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5309003,2.227340104009951,"[{'size': 22, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.4,0.426,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
38954147,SSS-Burkholder Unit B 2H,Pursuit Oil & Gas,11.5,3,10320,20606,10286,2020-10-25,10,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5306153,2.227340104009951,"[{'size': 22, 'count': 6}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.5",ProDirectional,5/6 8.5,6.75,29.46,0.426,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
71837231,La Muela 1H (Original),Pursuit Oil & Gas,11.6,3,10030,19933.1,9903.1,2017-10-29,8,8.75,pdc,"8.75"" Baker Hughes TD406FS",Baker Hughes,TD406FS,5272388,1.8407769454627694,"[{'size': 20, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.08,0.41,N/A,N/A,8.2,N/A,6,13,high,Baker:TD406FS->C40B6(frac),5/6,mid
39762212,La Muela 1H (Additional 2),Pursuit Oil & Gas,11.6,3,10030,19933.1,9903.1,2019-10-29,8,8.75,pdc,"8.75"" Baker Hughes TD406FS",Baker Hughes,TD406FS,5272388,1.8407769454627694,"[{'size': 20, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.08,0.41,N/A,N/A,8.2,N/A,6,13,high,Baker:TD406FS->C40B6(frac),5/6,mid
