equiv_bha_key,num_runs,curve_type,bin_start_ft,bin_axis,p10,p50,p90,contributing_runs,confident
6B-13mm | 5/6-mid,17,rotary,1300,distance_from_run_start,189.5,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1400,distance_from_run_start,189.5,257.1,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1500,distance_from_run_start,189.5,257.1,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1600,distance_from_run_start,189.5,257.1,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1700,distance_from_run_start,189.5,276.9,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,1800,distance_from_run_start,197.6,276.9,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,1900,distance_from_run_start,202.9,276.9,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2000,distance_from_run_start,202.9,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2100,distance_from_run_start,211.8,300.0,420.0,17,True
6B-13mm | 5/6-mid,17,rotary,2200,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2300,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2400,distance_from_run_start,211.8,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,2500,distance_from_run_start,211.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2600,distance_from_run_start,211.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2700,distance_from_run_start,195.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2800,distance_from_run_start,195.8,276.9,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,2900,distance_from_run_start,195.8,300.0,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,3000,distance_from_run_start,199.1,300.0,376.0,17,True
6B-13mm | 5/6-mid,17,rotary,3100,distance_from_run_start,207.1,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3200,distance_from_run_start,207.1,300.0,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3300,distance_from_run_start,202.9,313.6,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3400,distance_from_run_start,207.1,313.6,400.0,17,True
6B-13mm | 5/6-mid,17,rotary,3500,distance_from_run_start,207.2,320.5,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3600,distance_from_run_start,207.2,313.6,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3700,distance_from_run_start,218.4,302.1,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3800,distance_from_run_start,218.4,288.4,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,3900,distance_from_run_start,218.4,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4000,distance_from_run_start,200.7,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4100,distance_from_run_start,200.7,276.9,400.0,16,True
6B-13mm | 5/6-mid,17,rotary,4200,distance_from_run_start,200.7,276.9,380.0,16,True
6B-13mm | 5/6-mid,17,rotary,4300,distance_from_run_start,211.8,276.9,380.0,16,True
6B-13mm | 5/6-mid,17,rotary,4400,distance_from_run_start,211.8,288.4,360.0,16,True
6B-13mm | 5/6-mid,17,rotary,4500,distance_from_run_start,211.8,288.4,360.0,16,True
6B-13mm | 5/6-mid,17,rotary,4600,distance_from_run_start,210.0,288.4,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4700,distance_from_run_start,198.0,288.4,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4800,distance_from_run_start,183.8,276.9,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,4900,distance_from_run_start,183.8,270.0,360.0,15,True
6B-13mm | 5/6-mid,17,rotary,5000,distance_from_run_start,183.8,257.1,350.2,15,True
6B-13mm | 5/6-mid,17,rotary,5100,distance_from_run_start,203.5,257.1,350.2,14,True
6B-13mm | 5/6-mid,17,rotary,5200,distance_from_run_start,203.5,257.1,350.2,14,True
6B-13mm | 5/6-mid,17,rotary,5300,distance_from_run_start,203.5,270.0,353.5,13,True
6B-13mm | 5/6-mid,17,rotary,5400,distance_from_run_start,203.5,292.2,356.7,12,True
6B-13mm | 5/6-mid,17,rotary,5500,distance_from_run_start,200.0,300.0,360.0,11,True
6B-13mm | 5/6-mid,17,rotary,5600,distance_from_run_start,181.9,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,5700,distance_from_run_start,181.9,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,5800,distance_from_run_start,181.9,283.6,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,5900,distance_from_run_start,193.1,283.6,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6000,distance_from_run_start,193.1,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6100,distance_from_run_start,193.1,283.6,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6200,distance_from_run_start,193.1,288.4,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6300,distance_from_run_start,193.1,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6400,distance_from_run_start,191.7,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6500,distance_from_run_start,184.5,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6600,distance_from_run_start,193.1,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6700,distance_from_run_start,194.6,300.0,360.0,12,True
6B-13mm | 5/6-mid,17,rotary,6800,distance_from_run_start,196.6,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,6900,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7000,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7100,distance_from_run_start,205.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7200,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7300,distance_from_run_start,202.4,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7400,distance_from_run_start,200.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7500,distance_from_run_start,189.5,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7600,distance_from_run_start,189.5,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7700,distance_from_run_start,185.2,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7800,distance_from_run_start,175.0,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,7900,distance_from_run_start,173.1,300.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8000,distance_from_run_start,171.4,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8100,distance_from_run_start,170.9,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8200,distance_from_run_start,165.2,276.9,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8300,distance_from_run_start,170.9,267.0,360.0,13,True
6B-13mm | 5/6-mid,17,rotary,8400,distance_from_run_start,165.2,257.1,356.7,13,True
6B-13mm | 5/6-mid,17,rotary,8500,distance_from_run_start,167.6,257.1,353.5,12,True
6B-13mm | 5/6-mid,17,rotary,8600,distance_from_run_start,142.9,257.1,333.8,11,True
6B-13mm | 5/6-mid,17,rotary,8700,distance_from_run_start,154.0,257.1,333.8,10,True
6B-13mm | 5/6-mid,17,rotary,8800,distance_from_run_start,154.0,257.1,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,8900,distance_from_run_start,160.9,276.9,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,9000,distance_from_run_start,154.0,276.9,333.8,9,True
6B-13mm | 5/6-mid,17,rotary,9100,distance_from_run_start,154.0,276.9,333.8,8,True
6B-13mm | 5/6-mid,17,rotary,9200,distance_from_run_start,154.5,276.9,333.8,8,True
6B-13mm | 5/6-mid,17,rotary,9300,distance_from_run_start,154.5,288.4,337.1,8,True
6B-13mm | 5/6-mid,17,rotary,9400,distance_from_run_start,147.6,300.0,337.1,8,True
6B-13mm | 5/6-mid,17,rotary,9500,distance_from_run_start,154.5,300.0,337.1,7,True
6B-13mm | 5/6-mid,17,rotary,9600,distance_from_run_start,154.5,300.0,337.1,7,True
6B-13mm | 5/6-mid,17,rotary,9700,distance_from_run_start,153.0,300.0,340.4,7,True
6B-13mm | 5/6-mid,17,rotary,9800,distance_from_run_start,147.6,300.0,340.4,7,True
6B-13mm | 5/6-mid,17,rotary,9900,distance_from_run_start,141.8,276.9,340.4,7,True
6B-13mm | 5/6-mid,17,rotary,10000,distance_from_run_start,141.7,276.9,346.9,5,True
6B-13mm | 5/6-mid,17,rotary,10100,distance_from_run_start,141.7,300.0,346.9,5,True
6B-13mm | 5/6-mid,17,rotary,10200,distance_from_run_start,141.7,292.2,346.9,5,True
6B-13mm | 5/6-mid,17,rotary,10300,distance_from_run_start,191.7,292.2,350.2,4,True
6B-13mm | 5/6-mid,17,rotary,10400,distance_from_run_start,191.7,292.2,350.2,4,True
6B-13mm | 5/6-mid,17,rotary,10500,distance_from_run_start,191.7,292.2,350.2,4,True
6B-13mm | 5/6-mid,17,rotary,10600,distance_from_run_start,181.6,267.0,342.0,4,True
6B-13mm | 5/6-mid,17,rotary,10700,distance_from_run_start,174.1,259.2,335.1,4,True
6B-13mm | 5/6-mid,17,rotary,10800,distance_from_run_start,163.6,258.4,335.1,4,True
6B-13mm | 5/6-mid,17,rotary,10900,distance_from_run_start,174.1,202.5,261.3,4,True
6B-13mm | 5/6-mid,17,rotary,11000,distance_from_run_start,181.6,202.5,261.3,3,True
6B-13mm | 5/6-mid,17,rotary,11100,distance_from_run_start,181.9,202.5,259.4,3,True
6B-13mm | 5/6-mid,17,rotary,11200,distance_from_run_start,189.7,228.4,259.4,2,False
6B-13mm | 5/6-mid,17,rotary,11300,distance_from_run_start,257.1,257.1,259.4,1,False
6B-13mm | 5/6-mid,17,rotary,11400,distance_from_run_start,257.1,257.1,257.1,1,False
6B-13mm | 5/6-mid,17,rotary,11500,distance_from_run_start,257.1,257.1,257.1,1,False
6B-13mm | 5/6-mid,17,rotary,11600,distance_from_run_start,225.0,225.0,225.0,1,False
