asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
50782646,Spohn Ranch 42H,Escondido Resources,5.7,intermediate,3,8535,10139.46875,1604.5,N/A,N/A,2022-05-16,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV4293,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.57,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
50782646,Spohn Ranch 42H,Escondido Resources,5.7,intermediate,4,10139,18078.11133,7939.1,N/A,N/A,2022-05-19,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV5482,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"7"" MS Directional 7/8 6.9 stg",MS Directional,7/8 6.9 stg,7,34.73,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
28038976,Spohn Ranch 41H,Escondido Resources,5.7,intermediate,1,204,4078.00269,3874.0,N/A,N/A,2022-05-01,8,False,False,12.25,pdc,"12.25"" Varel RSY616P",Varel,RSY616P,4010779,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"9.625"" MS Directional XL Performance 7/8 7.0",MS Directional,XL Performance 7/8 7.0,9.625,34.85,0.18,N/A,N/A,7,N/A,6,16,check,"fallback-3dig:RSY616P->B6,16mm",7/8,lo
28038976,Spohn Ranch 41H,Escondido Resources,5.7,intermediate,2,4078,6876.61279,2798.6,N/A,N/A,2022-05-26,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613",Schlumberger,Z613,JV4695,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" MS Directional 5/6 9.4",MS Directional,5/6 9.4,7,34.49,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613->B6,13mm",5/6,mid
28038976,Spohn Ranch 41H,Escondido Resources,5.7,intermediate,3,6876.61,9580.01758,2703.4,N/A,N/A,2022-05-28,9,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,61656,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" MS Directional 7/8 6.9 stg",MS Directional,7/8 6.9 stg,7,34.65,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
28038976,Spohn Ranch 41H,Escondido Resources,5.7,intermediate,4,9580,22063.0625,12483.1,N/A,N/A,2022-05-30,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV9223,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.63,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",7/8,lo
28038976,Spohn Ranch 41H,Escondido Resources,5.7,intermediate,4.1,22063,22063.0625,0.1,N/A,N/A,2022-06-07,9,False,False,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,7,34.63,0.25,N/A,N/A,6.9,N/A,,,,skip,,
72458562,Spohn Ranch 40H,Escondido Resources,5.7,intermediate,1,205,4078.01318,3873.0,N/A,N/A,2022-04-29,8,False,False,12.25,pdc,"12.25"" Varel VION-616s",Varel,VION-616s,9004436,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"9.625"" MS Directional 7/8 7.0 Fxd 1.50deg w/ 11 5/8 NBS",MS Directional,7/8 7.0 Fxd 1.50deg w/ 11 5/8 NBS,9.625,35.02,0.18,N/A,N/A,7,N/A,6,16,high,"Varel:VION-616s->B6,16mm",7/8,lo
72458562,Spohn Ranch 40H,Escondido Resources,5.7,intermediate,1.1,4078.01,4078.01318,0.0,N/A,N/A,2022-04-30,8,False,False,12.25,pdc,Wiper Trip,N/A,N/A,N/A,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,9.625,35.02,0.18,N/A,N/A,7,N/A,,,,skip,,
72458562,Spohn Ranch 40H,Escondido Resources,5.7,intermediate,2,4078.01,9955.29297,5877.3,N/A,N/A,2022-06-11,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV9226,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.938"" MS Directional 5/6 9.4 stg",MS Directional,5/6 9.4 stg,6.938,34.48,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",5/6,mid
72458562,Spohn Ranch 40H,Escondido Resources,5.7,intermediate,3,9955.29,21878.16016,11922.9,N/A,N/A,2022-06-14,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV4406,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"6.875"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,6.875,34.68,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",7/8,lo
