asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,bin_start_ft,bin_axis,median_rop,foot_count
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2500,distance_from_run_start,400.0,75
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2600,distance_from_run_start,360.0,95
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2700,distance_from_run_start,360.0,92
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2800,distance_from_run_start,327.3,97
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2900,distance_from_run_start,327.3,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3000,distance_from_run_start,300.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3100,distance_from_run_start,327.3,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3200,distance_from_run_start,225.0,68
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3300,distance_from_run_start,300.0,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3400,distance_from_run_start,257.1,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3500,distance_from_run_start,240.0,75
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3600,distance_from_run_start,240.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3700,distance_from_run_start,240.0,78
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3800,distance_from_run_start,225.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,3900,distance_from_run_start,200.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4000,distance_from_run_start,180.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4100,distance_from_run_start,171.4,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4200,distance_from_run_start,171.4,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4300,distance_from_run_start,211.8,71
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4400,distance_from_run_start,211.8,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4500,distance_from_run_start,225.0,74
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4600,distance_from_run_start,200.0,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4700,distance_from_run_start,163.6,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4800,distance_from_run_start,180.0,100
