asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,formation_name,formation_segment,formation_bin_key,median_rop,foot_count
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,70,Buda|70,360.0,15
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,80,Buda|80,360.0,398
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,90,Buda|90,360.0,2183
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,0,Buda|0,60.0,23
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,10,Buda|10,60.0,29
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,20,Buda|20,48.2,10
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,30,Buda|30,48.2,30
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,40,Buda|40,51.4,27
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,50,Buda|50,60.0,95
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,60,Buda|60,90.0,107
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,70,Buda|70,120.0,98
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,80,Buda|80,120.0,135
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,slide,Buda,90,Buda|90,120.0,492
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Eagle Ford,50,Eagle Ford|50,276.9,29
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Eagle Ford,60,Eagle Ford|60,100.0,68
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Eagle Ford,70,Eagle Ford|70,150.0,40
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Eagle Ford,80,Eagle Ford|80,156.5,41
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Eagle Ford,90,Eagle Ford|90,225.0,58
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Buda,0,Buda|0,240.0,124
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Buda,10,Buda|10,327.3,2626
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Buda,20,Buda|20,327.3,3834
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,rotary,Buda,30,Buda|30,276.9,826
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Eagle Ford,60,Eagle Ford|60,87.8,81
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Eagle Ford,70,Eagle Ford|70,128.6,105
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Eagle Ford,80,Eagle Ford|80,141.2,128
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Eagle Ford,90,Eagle Ford|90,200.0,148
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Buda,0,Buda|0,225.0,112
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Buda,10,Buda|10,75.0,402
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Buda,20,Buda|20,51.4,213
13700906,Springer O 2H,4,6B-16mm | 5/6-mid,True,slide,Buda,30,Buda|30,42.6,36
32729228,Springer A 8H,5,6B-13mm | 7/8-lo,False,rotary,Buda,80,Buda|80,360.0,2832
32729228,Springer A 8H,5,6B-13mm | 7/8-lo,False,rotary,Buda,70,Buda|70,360.0,1835
32729228,Springer A 8H,5,6B-13mm | 7/8-lo,False,slide,Buda,80,Buda|80,24.9,60
32729228,Springer A 8H,5,6B-13mm | 7/8-lo,False,slide,Buda,70,Buda|70,18.9,9
28494042,Springer Ranch #11H,1,6B-16mm | 7/8-lo,False,rotary,Buda,90,Buda|90,327.3,1305
28494042,Springer Ranch #11H,1,6B-16mm | 7/8-lo,False,rotary,Escondido,0,Escondido|0,276.9,8
28494042,Springer Ranch #11H,1,6B-16mm | 7/8-lo,False,slide,Buda,90,Buda|90,76.6,300
74880670,Springer-SSS O Unit 1H,4,6B-16mm | 5/6-mid,True,rotary,Austin Chalk,60,Austin Chalk|60,133.3,69
74880670,Springer-SSS O Unit 1H,4,6B-16mm | 5/6-mid,True,slide,Austin Chalk,60,Austin Chalk|60,75.0,38
74880670,Springer-SSS O Unit 1H,4,6B-16mm | 5/6-mid,True,slide,Austin Chalk,70,Austin Chalk|70,128.6,135
74880670,Springer-SSS O Unit 1H,4,6B-16mm | 5/6-mid,True,slide,Austin Chalk,80,Austin Chalk|80,126.3,26
67815500,Springer Ranch #12H,1,6B-16mm | 7/8-lo,False,rotary,Buda,90,Buda|90,327.3,1559
67815500,Springer Ranch #12H,1,6B-16mm | 7/8-lo,False,slide,Buda,90,Buda|90,109.1,60
67815500,Springer Ranch #12H,3,6B-13mm | 7/8-lo,False,rotary,Buda,90,Buda|90,225.0,2719
67815500,Springer Ranch #12H,3,6B-13mm | 7/8-lo,False,slide,Buda,90,Buda|90,18.8,77
28494042,Springer Ranch #11H,3,6B-13mm | 7/8-lo,False,rotary,Buda,90,Buda|90,211.8,7059
28494042,Springer Ranch #11H,3,6B-13mm | 7/8-lo,False,slide,Buda,90,Buda|90,19.5,437
53251823,Campos La Muela State Unit,1,6B-16mm | 6/7-lo,False,rotary,Buda,90,Buda|90,327.3,9
53251823,Campos La Muela State Unit,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,0,Wilcox|0,360.0,68
